dmaap-dr-prov@dmaap-dr.onap.org|org.onap.dmaap-dr.seeCerts|2019-04-04 19:37:28.000+0000|org.onap.dmaap-dr|seeCerts
sdc@sdc.onap.org|org.onap.aai.resources_all|2019-04-04 19:37:28.000+0000|org.onap.aai|resources_all
sdc@sdc.onap.org|org.onap.aai.traversal_advanced|2019-04-05 08:30:34.355+0000|org.onap.aai|traversal_advanced
dmaapmr@mr.dmaap.onap.org|org.onap.dmaap.mr.admin|2018-12-05 15:59:50.847+0000|org.onap.dmaap.mr|admin
dmaapmr@mr.dmaap.onap.org|org.onap.dmaap.mr.create|2019-03-12 19:31:56.341+0000|org.onap.dmaap.mr|create
dmaapmr@mr.dmaap.onap.org|org.onap.dmaap.mr.destroy|2019-03-12 19:36:25.501+0000|org.onap.dmaap.mr|destroy
dmaapmr@mr.dmaap.onap.org|org.onap.dmaap.mr.mrtesttopic.pub|2019-03-12 19:37:10.089+0000|org.onap.dmaap.mr|mrtesttopic.pub
dmaapmr@mr.dmaap.onap.org|org.onap.dmaap.mr.mrtesttopic.sub|2019-03-12 19:37:02.593+0000|org.onap.dmaap.mr|mrtesttopic.sub
dmaapmr@mr.dmaap.onap.org|org.onap.dmaap.mr.service|2018-10-24 19:10:39.834+0000|org.onap.dmaap.mr|service
dmaapmr@mr.dmaap.onap.org|org.onap.dmaap.mr.view|2019-03-12 18:49:31.735+0000|org.onap.dmaap.mr|view
appc@appc.onap.org|org.onap.aai.resources_all|2019-04-05 08:34:17.022+0000|org.onap.aai|resources_all
appc@appc.onap.org|org.onap.aai.traversal_advanced|2019-04-05 08:30:59.491+0000|org.onap.aai|traversal_advanced
appc@appc.onap.org|org.onap.appc.admin|2019-04-04 19:37:28.000+0000|org.onap.appc|admin
jonathan@people.osaaf.org|org.admin|2018-10-14 00:43:06.769+0000|org|admin
jonathan@people.osaaf.org|org.onap.owner|2018-10-14 00:42:22.279+0000|org.onap|owner
jonathan@people.osaaf.org|org.onap.portal.admin|2018-10-30 20:33:01.287+0000|org.onap.portal|admin
jonathan@people.osaaf.org|org.openecomp.owner|2018-10-14 00:42:14.387+0000|org.openecomp|owner
jonathan@people.osaaf.org|org.osaaf.aaf.admin|2018-10-14 00:43:24.384+0000|org.osaaf.aaf|admin
jonathan@people.osaaf.org|org.osaaf.owner|2018-10-14 00:42:07.535+0000|org.osaaf|owner
jonathan@people.osaaf.org|org.osaaf.people.admin|2018-10-30 21:18:26.583+0000|org.osaaf.people|admin
jonathan@people.osaaf.org|org.osaaf.people.owner|2018-10-30 21:18:26.583+0000|org.osaaf.people|owner
jonathan@people.osaaf.org|org.owner|2018-10-14 00:41:36.791+0000|org|owner
appc123@appc.onap.org|org.onap.appc.admin|2018-08-31 00:00:00.000+0000|org.onap.appc|admin
appc123@appc.onap.org|org.onap.appc.odl|2018-08-31 00:00:00.000+0000|org.onap.appc|odl
djtimoney@people.osaaf.org|org.onap.sdnc.admin|2019-02-15 19:00:45.146+0000|org.onap.sdnc|admin
djtimoney@people.osaaf.org|org.onap.sdnc.owner|2019-02-15 19:00:51.995+0000|org.onap.sdnc|owner
jm0007@people.osaaf.org|org.onap.portal.tester|2019-04-04 19:37:28.000+0000|org.onap.portal|tester
jm0007@people.osaaf.org|org.onap.sdc.TESTOR|2019-04-04 19:37:28.000+0000|org.onap.sdc|TESTOR
dmaap-dr-node@dmaap-dr.onap.org|org.onap.dmaap-dr.seeCerts|2019-04-04 19:37:28.000+0000|org.onap.dmaap-dr|seeCerts
dmaap-dr@dmaap-dr.onap.org|org.onap.dmaap-dr.seeCerts|2019-04-04 19:37:28.000+0000|org.onap.dmaap-dr|seeCerts
vid@vid.onap.org|org.onap.aai.resources_all|2019-04-05 08:33:59.704+0000|org.onap.aai|resources_all
vid@vid.onap.org|org.onap.aai.traversal_advanced|2019-04-05 08:30:47.838+0000|org.onap.aai|traversal_advanced
op0001@people.osaaf.org|org.onap.portal.ops|2019-04-04 19:37:28.000+0000|org.onap.portal|ops
op0001@people.osaaf.org|org.onap.sdc.TESTOR|2019-04-04 19:37:28.000+0000|org.onap.sdc|TESTOR
aaronh@people.osaaf.org|org.onap.appc.admin|2018-12-06 21:23:26.569+0000|org.onap.appc|admin
pm0001@people.osaaf.org|org.onap.sdc.TESTOR|2019-04-04 19:37:28.000+0000|org.onap.sdc|TESTOR
m99501@dmaapBC.openecomp.org|org.openecomp.dmaapBC.owner|2018-08-31 00:00:00.000+0000|org.openecomp.dmaapBC|owner
m99501@dmaapBC.openecomp.org|org.openecomp.dmaapBC.service|2018-08-31 00:00:00.000+0000|org.openecomp.dmaapBC|admin
vfc@vfc.onap.org|org.onap.aai.resources_all|2019-04-05 08:34:51.552+0000|org.onap.aai|resources_all
vfc@vfc.onap.org|org.onap.aai.traversal_advanced|2019-04-05 08:31:50.749+0000|org.onap.aai|traversal_advanced
vfc@vfc.onap.org|org.onap.vfc.service|2019-04-04 19:37:28.000+0000|org.onap.vfc|service
pomba@pomba.onap.org|org.onap.aai.resources_all|2019-04-05 15:35:27.485+0000|org.onap.aai|resources_all
pomba@pomba.onap.org|org.onap.aai.traversal_advanced|2019-04-05 15:35:13.294+0000|org.onap.aai|traversal_advanced
sdnc@sdnc.onap.org|org.onap.aai.resources_all|2019-04-05 08:32:41.559+0000|org.onap.aai|resources_all
sdnc@sdnc.onap.org|org.onap.aai.traversal_advanced|2019-04-05 08:29:52.674+0000|org.onap.aai|traversal_advanced
saratp@people.osaaf.org|org.onap.oof.admin|2018-10-25 12:32:10.860+0000|org.onap.oof|admin
saratp@people.osaaf.org|org.onap.oof.owner|2018-10-25 12:32:10.860+0000|org.onap.oof|owner
vid2@people.osaaf.org|org.onap.vid.Standard_User|2019-04-04 19:37:28.000+0000|org.onap.vid|Standard_User
vid2@people.osaaf.org|org.onap.vid.System_Administrator|2019-04-04 19:37:28.000+0000|org.onap.vid|System_Administrator
aaf_admin@people.osaaf.org|org.onap.aaf-sms.admin|2019-04-04 19:37:28.000+0000|org.onap.aaf-sms|admin
