aaf@aaf.osaaf.org|200|2020-05-20 21:36:51.000+0000|0x3b135e8090e8d86d7459db076226c625e5344248ff886050cb5284932670778d||org.osaaf.aaf|-207933859||d8d991402842bf13
aaf@aaf.osaaf.org|200|2020-08-01 08:18:32.000+0000|0x128ae38bcb98680f7942aa0f04edc2450f677e2e963e3705443551231d0eb3a6||org.osaaf.aaf|-1714536343||742d647a5ec3767b
aaf@aaf.osaaf.org|200|2020-08-01 08:56:00.000+0000|0x5b963ab18a5793792f2ce3f7e5aeed34d1aa3aa07dbc30df78c045f35e2a1266||org.osaaf.aaf|-1006886374||742d647a5ec3767c
aaf@aaf.osaaf.org|200|2020-08-01 13:52:53.000+0000|0x309be104611bb41daedbfcaa05ff4f80c82cc88873cda4d6bd45b9c35f8d73f2||org.osaaf.aaf|-2004236312||d8d991402842bf0e
aaf@aaf.osaaf.org|200|2020-08-05 07:04:25.000+0000|0xb529cca77bb6396dd703e8e55abc060d7ee44dabd146f18147a464721959c0dd||org.osaaf.aaf|-579079176||d8d991402842bf10
aaf@aaf.osaaf.org|200|2020-08-05 07:19:08.000+0000|0x1b16959dfe6f01050eba9b58718ee8373a07bdbf37bc5e8acf5a523aa658024a||org.osaaf.aaf|-207933859||d8d991402842bf11
aaf@aaf.osaaf.org|200|2020-08-05 08:59:27.000+0000|0x3b135e8090e8d86d7459db076226c625e5344248ff886050cb5284932670778d||org.osaaf.aaf|-572230434||d8d991402842bf12
aaf@aaf.osaaf.org|200|2020-08-05 09:32:19.000+0000|0x0ac8bcf61885cb443a706164dc21f52e7d57a838f35ce83b4d7aa8a2baed2160||org.osaaf.aaf|-1733612059||d8d991402842bf13
aaf@aaf.osaaf.org|2|2019-09-20 23:22:15.000+0000|0xd993c5617486296f1b99d04de31633332b8ba1a550038e23860f9dbf0b2fcf95|Initial ID|org.osaaf.aaf|53344||
aaf@aaf.osaaf.org|2|2020-05-20 21:36:51.000+0000|0xd993c5617486296f1b99d04de31633332b8ba1a550038e23860f9dbf0b2fcf95|Initial ID|org.osaaf.aaf|53344||
aaf_admin@people.osaaf.org|2|2019-09-20 23:22:15.000+0000|0xd993c5617486296f1b99d04de31633332b8ba1a550038e23860f9dbf0b2fcf95|Initial ID|org.osaaf.people|53344||
aaf_admin@people.osaaf.org|2|2020-05-20 21:36:51.000+0000|0xd993c5617486296f1b99d04de31633332b8ba1a550038e23860f9dbf0b2fcf95|Initial ID|org.osaaf.people|53344||
aaf_admin@people.osaaf.org|2|2020-09-20 23:22:15.000+0000|0xd993c5617486296f1b99d04de31633332b8ba1a550038e23860f9dbf0b2fcf95|Initial ID|org.osaaf.people|53344||
aaf-sms@aaf-sms.onap.org|200|2020-05-20 21:36:51.000+0000|0x798dd72d4e4c33f16351d2f6649c8b0756e8417d01f342b588ccdcd4b6dcfa1a||org.onap.aaf-sms|-1192072764||7c3405254e2a8868
aaf-sms@aaf-sms.onap.org|200|2020-06-03 20:08:21.000+0000|0x798dd72d4e4c33f16351d2f6649c8b0756e8417d01f342b588ccdcd4b6dcfa1a||org.onap.aaf-sms|-1192072764||7c3405254e2a8868
aaf-sms@aaf-sms.onap.org|2|2019-09-20 23:22:15.000+0000|0xd993c5617486296f1b99d04de31633332b8ba1a550038e23860f9dbf0b2fcf95|Initial ID|org.onap.aaf-sms|53344||
